stage 1: a=-0.43319471598019454;b=-0.01508605869269286	c=4.287004997476812	correlation coefficient=0.19009248115410485	p value=0.5339142863427172
stage 2: a=14.276675175391711;b=-17.451409929639116	c=3.288056261892572	correlation coefficient=0.9343641483583853	p value=5.526904282576378e-15
stage 3: a=2.8119126809981974;b=-3.2149832593119325	c=1.5899960353816343	correlation coefficient=0.7709950677126558	p value=6.917708139926843e-05
multi-stage: correlation coefficient=0.9402342039152917	p value=3.565369049823158e-31
1	1.1869	1.0678	1.3012
2	1.2499	1.1281	1.3720
3	1.2891	1.1542	1.4186
4	1.2653	1.1413	1.3874
5	1.3187	1.1746	1.4584
6	1.3193	1.1671	1.4614
7	1.2530	1.1362	1.3686
8	1.1815	1.0617	1.3015
9	1.1903	1.0587	1.3193
10	1.2623	1.1446	1.3797
11	1.3163	1.1742	1.4747
12	1.3414	1.1972	1.5023
13	1.4698	1.3473	1.5966
14	1.5937	1.4805	1.7097
15	1.8328	1.6336	2.0361
16	1.7159	1.5703	1.8662
17	1.7288	1.5696	1.8796
18	1.4359	1.3217	1.5554
19	1.6159	1.4997	1.7316
20	1.5534	1.4539	1.6559
21	1.2132	0.7951	1.6616
22	1.6508	1.2610	2.0724
23	1.0794	0.6923	1.4832
24	1.7456	1.4798	2.0433
25	1.4279	0.9955	1.9044
26	1.6626	1.3751	1.9650
27	1.5961	1.3083	1.8992
28	1.5452	1.2598	1.8615
29	1.8648	1.5091	2.2041
30	1.8731	1.5431	2.1811
31	2.3462	2.0879	2.5970
32	2.8429	2.5732	3.0930
33	3.2042	2.8872	3.5077
34	3.5052	3.2859	3.7073
35	3.4155	3.2278	3.5914
36	3.5010	3.2859	3.6973
37	4.2158	3.9920	4.4508
38	4.3376	4.1013	4.5877
39	4.0775	3.8701	4.2917
40	3.8743	3.6811	4.0740
41	3.8905	3.6972	4.0811
42	3.8693	3.6293	4.0825
43	3.7403	3.4524	4.0008
44	3.5414	3.1843	3.8710
45	3.5978	3.3122	3.8610
46	3.7727	3.5374	3.9801
47	3.9139	3.6729	4.1277
48	4.2304	4.0043	4.4566
49	4.6909	4.4185	4.9659
50	5.1571	4.7977	5.5185
51	5.5896	5.1500	6.0723
52	6.1643	5.5833	6.7876
53	3.3021	2.7830	3.7716
54	3.2660	2.6499	3.7918
55	3.3201	2.8880	3.7135
56	3.5034	2.8150	4.2030
57	3.5007	2.8504	4.1509
58	3.4987	2.8473	4.1498
59	3.4600	2.9119	3.9990
60	3.4366	2.9405	3.9234
61	3.3654	2.1669	4.3925
62	3.2759	2.5982	3.9277
63	3.1998	2.3846	3.9458
64	3.1168	2.2933	3.9286
65	3.2550	2.6189	3.8510
