# time,total_carbon_flux_mean (Mt C/yr),total_carbon_flux_max (Mt C/yr),total_carbon_flux_min (Mt C/yr),slab_flux (km3/yr),slab_flux_max (km3/yr),slab_flux_min (km3/yr),lithosphere_carbon_flux_mean (Mt C/yr),lithosphere_carbon_flux_max (Mt C/yr),lithosphere_carbon_flux_min (Mt C/yr),serpentinite_carbon_flux_mean (Mt C/yr),serpentinite_carbon_flux_max(Mt C/yr),serpentinite_carbon_flux_min (Mt C/yr),crust_carbon_flux_mean (Mt C/yr),crust_carbon_flux_max (Mt C/yr),crust_carbon_flux_min (Mt C/yr),crust_sediment_flux_mean (Mt C/yr),crust_sediment_flux_max (Mt C/yr),crust_sediment_flux_min (Mt C/yr)
1.0,91.78333333333332,199.4466666666667,52.072,142.07,334.7966666666666,80.78200000000001,11.103333333333333,25.900000000000002,10.463333333333333,2.08,4.763333333333334,1.9600000000000002,14.123333333333335,33.083333333333336,13.350000000000001,64.48333333333333,135.7,61.01666666666666
2.0,78.28999999999999,140.46800000000002,66.29,139.15,241.57,116.51799999999999,10.784,18.746,9.154,2.056,3.7520000000000002,1.8719999999999999,13.706,23.547999999999995,11.398,51.75,94.422,43.870000000000005
3.0,70.566,129.22,65.66,139.92000000000002,250.65400000000005,129.906,11.024,20.232000000000003,10.284,1.8579999999999999,3.7159999999999997,1.77,13.762,24.810000000000002,12.768,43.926,80.46200000000002,40.84
4.0,79.164,141.81199999999998,73.014,153.02200000000002,261.934,141.32600000000002,12.777999999999999,22.889999999999997,11.658,2.3579999999999997,4.465999999999999,2.15,15.510000000000002,26.644,14.285999999999998,48.516000000000005,87.816,44.92
5.0,70.184,140.11399999999998,56.239999999999995,144.308,266.93399999999997,118.832,12.569999999999999,23.734,9.744,2.896,5.2780000000000005,2.038,15.384,28.576,12.48,39.33200000000001,82.52600000000001,31.982
6.0,64.1,124.702,38.202000000000005,125.378,225.62399999999997,75.904,10.788,20.662,6.464,3.0380000000000003,5.994,2.2975000000000003,13.702000000000002,25.144,8.200000000000001,36.574,72.902,21.699999999999996
7.0,84.81400000000001,124.89200000000001,26.794,167.498,236.552,59.426,12.606,18.77,4.3,1.9899999999999998,3.032,0.732,17.59,25.022,6.122,52.628,78.07000000000001,15.65
8.0,127.01799999999999,139.68,26.199999999999996,241.262,266.508,59.34400000000001,20.16,22.112000000000002,4.539999999999999,4.08,4.382,1.006,25.918,28.736,6.166,76.858,84.45,14.488
9.0,156.14000000000001,160.49,32.706,278.16600000000005,287.38,62.572,24.212,24.951999999999998,5.224000000000001,4.723999999999999,4.846000000000001,0.9360000000000002,30.004,30.96,6.583999999999999,97.196,99.72999999999999,19.96
10.0,186.994,274.07,152.66199999999998,347.10200000000003,509.294,285.966,30.458000000000006,44.822,24.523999999999997,6.494,9.258,5.176,38.257999999999996,56.834,31.24,111.79,163.15800000000002,91.71799999999999
11.0,247.24200000000002,352.44399999999996,200.81,452.908,638.2959999999999,374.11,44.872,64.432,35.989999999999995,9.774,13.604,7.7700000000000005,50.34400000000001,72.0,41.202,142.254,202.408,115.846
12.0,257.338,362.198,209.324,473.892,650.178,394.316,50.964,72.264,40.782,11.946000000000002,16.908,9.414,54.19,75.28999999999999,44.56,140.23600000000002,197.73600000000002,114.56999999999998
13.0,275.72799999999995,383.514,228.094,493.834,671.448,416.546,54.355999999999995,77.19,44.338,12.912,18.296,10.285999999999998,57.56600000000001,79.256,48.074,150.892,208.76999999999998,125.4
14.0,269.916,370.84799999999996,226.248,481.262,650.908,408.946,55.286,78.1,45.33,13.772,19.27,10.975999999999999,57.129999999999995,78.27799999999999,48.036,143.724,195.198,121.90799999999999
15.0,275.508,378.88199999999995,234.17200000000003,507.12199999999996,683.402,438.0,59.331999999999994,84.242,48.928000000000004,14.524000000000001,20.821999999999996,11.517999999999999,60.212,82.19000000000001,51.394000000000005,141.44400000000002,191.632,122.33000000000001
16.0,289.424,399.11199999999997,249.13400000000001,552.186,746.6400000000001,478.9820000000001,59.760000000000005,84.694,49.922,13.854,19.546,11.187999999999999,63.94,87.59200000000001,55.017999999999994,151.87,207.28000000000003,133.002
17.0,268.74,367.092,231.238,513.34,690.8979999999999,446.012,53.91799999999999,75.982,45.43,13.532,18.612000000000002,10.929999999999998,60.124,82.108,51.791999999999994,141.162,190.388,123.08
18.0,258.202,352.54,222.96999999999997,533.85,718.338,467.25200000000007,56.312,80.006,47.39,14.322,19.692,11.634,63.26399999999999,86.55199999999999,54.989999999999995,124.306,166.29199999999997,108.95600000000002
19.0,237.67200000000003,323.67999999999995,207.01800000000003,515.534,691.354,455.20200000000006,49.708000000000006,71.25800000000001,42.5,12.268,17.226,10.002,62.076,85.06800000000001,54.36800000000001,113.61600000000001,150.128,100.152
20.0,248.32200000000003,336.57399999999996,216.51999999999998,533.2180000000001,710.946,471.726,45.868,64.622,39.936,9.892,13.972,8.29,63.362,85.88399999999999,55.779999999999994,129.204,172.096,112.51599999999999
21.0,262.22799999999995,353.53000000000003,229.98200000000003,599.6379999999999,803.4780000000001,527.9159999999999,49.61,68.98599999999999,43.44,9.790000000000001,13.235999999999999,8.370000000000001,70.25,95.41,61.694,132.576,175.898,116.48000000000002
22.0,258.172,344.666,225.96999999999997,602.7239999999999,806.804,526.3399999999999,50.788,69.51,44.21,10.190000000000001,13.4,8.677999999999999,70.864,95.576,61.806,126.324,166.17800000000003,111.274
23.0,245.456,327.626,212.31,564.058,749.858,489.776,49.034,66.864,42.148,10.872,14.638,9.228,66.61600000000001,89.166,57.69200000000001,118.934,156.95999999999998,103.24600000000001
24.0,213.836,286.58599999999996,183.17000000000002,520.6519999999999,694.26,447.56000000000006,46.94799999999999,63.19,40.12,9.47,12.41,8.038,62.15,83.424,53.17999999999999,95.26,127.566,81.828
25.0,267.96000000000004,358.998,225.07800000000003,628.9060000000002,835.098,535.7819999999999,60.61400000000001,82.166,50.416,13.906,18.564,11.21,75.47399999999999,101.244,63.896,117.974,157.022,99.55799999999999
26.0,223.04000000000002,308.432,181.50799999999998,620.2,842.682,504.85200000000003,47.989999999999995,67.34,39.028,4.814000000000001,7.072,3.8920000000000003,72.744,99.9,58.974000000000004,97.492,134.11999999999998,79.612
27.0,221.652,306.136,175.13000000000002,579.662,781.458,465.87600000000003,46.194,64.172,36.416000000000004,4.366,6.664,3.2939999999999996,74.07000000000001,100.88199999999999,58.754,97.022,134.422,76.67
28.0,218.77200000000002,301.584,173.496,609.988,823.656,488.4459999999999,45.098,63.062,35.548,3.594,5.4719999999999995,2.88,71.97999999999999,98.21,57.222,98.096,134.842,77.84400000000001
29.0,174.89600000000002,240.19400000000002,137.864,522.0840000000001,699.5719999999999,416.55,35.87,49.52,28.284,3.758,5.632000000000001,2.9159999999999995,59.35799999999999,80.606,47.092,75.91,104.43799999999999,59.568000000000005
30.0,181.174,245.504,141.30599999999998,506.61,672.246,403.342,37.112,50.368,29.01,5.912,8.238,4.404,58.65,78.7,46.3,79.502,108.2,61.59000000000001
31.0,184.224,247.296,143.598,503.012,661.322,400.096,36.958,49.592,28.792,5.864,8.162,4.2780000000000005,59.39,78.90200000000002,46.872,82.014,110.644,63.65599999999999
32.0,167.45800000000003,224.29199999999997,127.71,451.578,591.8340000000001,351.43600000000004,34.04,45.672000000000004,25.792,5.572000000000001,7.702000000000001,3.9219999999999997,53.878,71.5,41.5,73.968,99.42,56.49400000000001
33.0,150.87199999999999,200.67,112.72,406.076,529.908,309.906,30.360000000000003,40.494,22.601999999999997,4.598000000000001,6.226000000000001,3.1719999999999997,48.684000000000005,64.378,36.774,67.23400000000001,89.58,50.16799999999999
34.0,170.484,222.954,124.152,447.06000000000006,577.706,333.444,34.374,45.04,24.946,5.0200000000000005,6.578,3.4219999999999997,54.65999999999999,71.296,40.258,76.43400000000001,100.04,55.525999999999996
35.0,186.11399999999998,241.234,132.544,480.198,614.7700000000001,350.944,37.315999999999995,48.676,26.395999999999997,5.151999999999999,6.934,3.184,59.536,76.822,42.965999999999994,84.10799999999999,108.806,59.995999999999995
36.0,171.362,219.888,123.316,474.198,606.096,342.70400000000006,34.706,44.584,24.96,3.47,4.424,2.34,56.815999999999995,72.96000000000001,41.012,76.366,97.92,55.00599999999999
37.0,182.542,230.542,128.596,502.51599999999996,636.392,354.48,37.220000000000006,46.994,26.252,3.102,3.88,1.996,60.722,77.03,42.868,81.49600000000001,102.636,57.477999999999994
38.0,181.98999999999998,227.74200000000002,127.354,504.346,636.1200000000001,348.448,38.036,47.489999999999995,26.663999999999998,4.3,5.15,3.0300000000000002,61.443999999999996,77.286,42.798,78.21000000000001,97.816,54.86400000000001
39.0,181.264,226.00799999999998,125.63200000000002,500.744,629.1220000000001,341.82599999999996,37.634,46.908,26.026,3.3840000000000003,4.184,2.22,61.476,76.988,42.368,78.774,97.926,55.013999999999996
40.0,184.76600000000002,227.18,127.532,499.572,622.05,336.366,39.004000000000005,47.872,26.854000000000003,4.224,5.136,2.8280000000000003,62.714,77.518,42.872,78.83,96.652,54.98199999999999
41.0,179.406,219.08199999999997,123.21399999999998,491.14399999999995,610.0020000000001,327.412,39.438,48.05,26.990000000000002,4.368,5.236,2.94,62.366,76.76799999999999,42.248000000000005,73.23400000000001,89.02799999999999,51.034000000000006
42.0,164.04199999999997,199.418,113.006,441.61799999999994,549.856,291.62600000000003,35.936,43.74,24.506,4.924,5.75,3.532,56.69199999999999,69.836,38.116,66.488,80.09200000000001,46.856
43.0,154.59,187.10399999999998,105.508,413.506,512.864,269.932,33.736000000000004,40.896,22.753999999999998,4.426,5.234,3.1439999999999997,53.708000000000006,65.82000000000001,35.73800000000001,62.720000000000006,75.154,43.878
