# time,sediments_min,sediments_mean,sediments_max,serpentinite_min,serpentinite_mean,serpentinite_max,serpentinite_bending_min,serpentinite_bending_mean,serpentinite_bending_max,crust_min,crust_mean,crust_max,lithosphere_min,lithosphere_mean,lithosphere_max,total_subducted_min,total_subducted_mean  (Mt C/yr),total_subducted_max,cumulative_subducted_min,cumulative_subducted_mean,cumulative_subducted_max
1,41.1138,58.6058,80.5608,4.58455,8.5593,13.134,0.587116,4.76314,8.91952,17.2046,20.4114,24.3692,5.0875,12.7952,21.4316,67.9905,100.372,139.496,12397.2,17835.9,24408.4
2,40.3319,57.7073,79.6117,4.59178,8.59691,13.2162,0.614596,4.8263,9.01805,17.4857,20.7497,24.7772,5.23893,12.9225,21.5319,67.6483,99.9763,139.137,12364.2,17787.1,24340.4
3,39.2688,56.4728,78.2827,4.60531,8.65098,13.3291,0.651855,4.91054,9.14887,17.8617,21.2024,25.3234,5.43248,13.0974,21.6859,67.1683,99.4236,138.621,12318.8,17719.9,24246.6
4,38.002,54.9723,76.616,4.62535,8.7165,13.4597,0.69431,5.00475,9.29437,18.2838,21.7111,25.9375,5.63695,13.2995,21.8852,66.5481,98.6994,137.898,12264.6,17639.5,24134.3
5,36.589,53.2486,74.6242,4.64932,8.78541,13.5919,0.736786,5.0972,9.43634,18.7003,22.2138,26.545,5.82464,13.5038,22.1083,65.7632,97.7517,136.869,12204.9,17550.9,24010.4
6,35.0753,51.3372,72.3257,4.67259,8.84829,13.7097,0.774778,5.17833,9.5602,19.0691,22.6601,27.0851,5.97876,13.6881,22.3264,64.7958,96.5337,135.447,12142.4,17458,23880.3
7,33.5125,49.2954,69.7879,4.69065,8.89735,13.8007,0.805509,5.24276,9.658,19.3674,23.0224,27.5247,6.09582,13.8391,22.5154,63.6663,95.0543,133.629,12079.1,17363.6,23747.8
8,31.9661,47.2153,67.1424,4.70154,8.92918,13.8593,0.828308,5.2898,9.72905,19.5941,23.2993,27.8619,6.18276,13.9562,22.6662,62.4445,93.4,131.53,12016,17269.4,23615.3
9,30.5084,45.2095,64.5586,4.70684,8.94575,13.8879,0.844225,5.32248,9.77834,19.7653,23.51,28.1192,6.25102,14.0494,22.7874,61.2315,91.7146,129.353,11953.8,17176.3,23484.2
10,29.2018,43.3811,62.1949,4.71057,8.95289,13.8948,0.85535,5.34595,9.81403,19.9057,23.6839,28.3324,6.31224,14.1333,22.8968,60.1303,90.1512,127.319,11892.6,17084.7,23355
11,28.0848,41.7974,60.1549,4.71661,8.95708,13.8907,0.864153,5.36592,9.84507,20.0411,23.8519,28.5383,6.3774,14.2198,23.0072,59.2199,88.8262,125.591,11832.5,16994.6,23227.7
12,27.1656,40.4757,58.4636,4.7262,8.96221,13.8842,0.873022,5.38761,9.87948,20.1919,24.0386,28.7669,6.45794,14.3125,23.1134,58.5416,87.789,124.228,11773.3,16905.7,23102.1
13,26.423,39.3869,57.0734,4.73725,8.96814,13.8797,0.883889,5.41484,9.92293,20.3703,24.2586,29.0358,6.56549,14.406,23.1912,58.0961,87.0196,123.18,11714.7,16818,22977.9
14,25.8135,38.4714,55.8925,4.74555,8.97181,13.8768,0.897918,5.44934,9.97775,20.579,24.5151,29.3488,6.70906,14.4904,23.2093,57.8471,86.4487,122.327,11656.6,16730.9,22854.7
15,25.2841,37.6657,54.8312,4.74776,8.97052,13.8734,0.915517,5.4908,10.0429,20.8143,24.8034,29.7001,6.89157,14.5587,23.1497,57.7377,85.9983,121.554,11598.8,16644.5,22732.4
16,24.7897,36.9285,53.8443,4.74392,8.96515,13.87,0.936647,5.53742,10.1147,21.0705,25.1163,30.0811,7.10853,14.6136,23.0229,57.7127,85.6236,120.818,11541,16558.5,22610.8
17,24.3071,36.2535,52.9455,4.73824,8.96114,13.8711,0.96124,5.58683,10.1887,21.3443,25.4495,30.4857,7.34965,14.6677,22.8676,57.7392,85.3318,120.17,11483.3,16472.9,22490
18,23.8382,35.6614,52.1856,4.7372,8.96616,13.8833,0.989521,5.63693,10.2604,21.6347,25.8016,30.9121,7.60207,14.7385,22.7348,57.8122,85.1676,119.716,11425.6,16387.5,22369.8
19,23.3992,35.1747,51.6052,4.74588,8.98559,13.9111,1.022,5.68616,10.3261,21.9404,26.1708,31.3581,7.85351,14.8384,22.6649,57.939,85.1695,119.539,11367.8,16302.4,22250.1
20,23.0021,34.7918,51.1951,4.76474,9.01872,13.9523,1.05921,5.73343,10.3832,22.256,26.5509,31.8161,8.09383,14.9687,22.6719,58.1166,85.3302,119.635,11309.8,16217.2,22130.6
21,22.6439,34.4809,50.8931,4.78887,9.05824,13.9985,1.10132,5.77794,10.4298,22.5713,26.9298,32.2718,8.31611,15.1191,22.7417,58.3202,85.588,119.905,11251.7,16131.9,22011
22,22.3091,34.196,50.6192,4.81033,9.09361,14.0386,1.14763,5.81895,10.4652,22.8733,27.2921,32.7071,8.5165,15.2737,22.8452,58.5093,85.8554,120.21,11193.4,16046.3,21891
23,21.9821,33.9031,50.3191,4.82196,9.11587,14.0644,1.19586,5.8551,10.4891,23.1483,27.6213,33.1021,8.69258,15.4185,22.9548,58.6449,86.0588,120.44,11134.9,15960.4,21770.8
24,21.6571,33.5958,49.9868,4.82021,9.121,14.0731,1.24172,5.88383,10.5004,23.3815,27.8998,33.4357,8.84078,15.5445,23.0559,58.6996,86.1611,120.552,11076.3,15874.4,21650.4
25,21.3379,33.2874,49.65,4.80554,9.11,14.067,1.27919,5.90124,10.4976,23.5573,28.109,33.6854,8.95516,15.6467,23.1446,58.6559,86.1531,120.547,11017.6,15788.2,21529.8
26,21.0263,32.9901,49.3334,4.78049,9.0863,14.0489,1.30206,5.90305,10.4783,23.6604,28.2309,33.8301,9.02946,15.7203,23.2173,58.4966,86.0276,120.43,10958.9,15702.1,21409.3
27,20.7133,32.6967,49.0317,4.74732,9.05282,14.0202,1.30615,5.88651,10.4412,23.6819,28.2556,33.8581,9.06235,15.7581,23.2605,58.2049,85.7631,120.17,10900.4,15616,21288.9
28,20.3803,32.3808,48.7096,4.70705,9.01108,13.9802,1.29143,5.85243,10.3879,23.6273,28.1902,33.7786,9.06245,15.7539,23.2516,57.777,85.3359,119.72,10842.2,15530.3,21168.7
29,20.0102,32.015,48.3283,4.66034,8.9624,13.9295,1.26279,5.80621,10.3244,23.5211,28.0647,33.6282,9.04912,15.7088,23.1709,57.2407,84.7508,119.057,10784.4,15444.9,21049
30,19.5998,31.59,47.8746,4.60924,8.90999,13.873,1.22902,5.75712,10.2602,23.4051,27.9293,33.4673,9.04699,15.636,23.0188,56.6612,84.0652,118.234,10727.2,15360.2,20929.9
31,19.1625,31.1215,47.3706,4.55793,8.8594,13.8194,1.20005,5.71555,10.2063,23.326,27.8394,33.3625,9.07638,15.5592,22.8231,56.1228,83.3794,117.376,10670.5,15276.1,20811.7
32,18.7201,30.6384,46.8562,4.51155,8.81642,13.7773,1.1836,5.68905,10.1699,23.3166,27.8339,33.36,9.14454,15.503,22.6276,55.6929,82.7916,116.621,10614.4,15192.7,20694.3
33,18.2895,30.1626,46.3578,4.47358,8.78325,13.749,1.18243,5.67892,10.1508,23.38,27.9155,33.4625,9.24228,15.4795,22.4683,55.3854,82.3409,116.038,10558.7,15109.9,20577.7
34,17.8724,29.6937,45.8648,4.44366,8.75594,13.7264,1.19351,5.67913,10.1401,23.4844,28.0457,33.6229,9.34766,15.4803,22.3518,55.1482,81.9756,115.566,10503.3,15027.6,20461.7
35,17.4564,29.2092,45.3332,4.41755,8.72518,13.693,1.20951,5.6787,10.1232,23.5752,28.1586,33.762,9.43514,15.479,22.2511,54.8843,81.572,115.039,10448.2,14945.6,20346.1
