# time,Carbonate sediment (Mt C / yr),Altered oceanic crust (Mt C / yr),Serpentinized mantle (Mt C / yr),total_subducted_mean  (Mt C/yr)
1,54.33,20.21,11.45,85.99
2,52.77,20.29,11.32,84.38
3,52.61,20.18,11.34,84.13
4,52.94,21.2,11.59,85.73
5,52.13,22.68,12.39,87.2
6,49.51,23.51,12.58,85.6
7,46.46,22.77,12.15,81.38
8,43.46,22.69,12.09,78.24
9,40.84,22.55,11.88,75.27
10,37.41,22.48,11.87,71.76
11,32.54,21.19,10.87,64.6
12,29.23,20.18,10.48,59.89
13,28,20.27,10.81,59.08
14,28.26,20.36,10.84,59.46
15,28.1,23.36,12.11,63.57
16,27.46,24.15,12.51,64.12
17,26.23,24.07,12.47,62.77
18,26.07,24.5,12.57,63.14
19,27.09,25.27,13,65.36
20,28.37,26.65,13.82,68.84
21,29.71,27.23,14.26,71.2
22,30.24,27.61,14.45,72.3
23,30.4,28.08,14.51,72.99
24,29.98,27.52,14.73,72.23
25,30.46,29.27,15.36,75.09
26,31.47,29.64,15.53,76.64
27,32.22,29.55,15.07,76.84
28,32.22,30.57,15.63,78.42
29,31.9,29.26,15,76.16
30,31.9,28.92,14.91,75.73
31,31.58,28.05,14.53,74.16
32,30.19,27.54,14.13,71.86
33,28.74,25.72,13.14,67.6
34,28.85,28.3,14.64,71.79
35,29.01,30.48,15.71,75.2
36,28.58,30.59,15.88,75.05
37,27.41,30.35,15.52,73.28
38,26.71,29.44,15.22,71.37
39,26.07,28.49,14.88,69.44
40,25.21,27.45,14.35,67.01
41,24.68,27.67,14.46,66.81
42,24.03,27.72,14.44,66.19
43,23.23,26.97,13.84,64.04
44,22.38,25.44,13.27,61.09
45,21.63,24.3,13.06,58.99
46,20.29,24.56,12.95,57.8
47,19.38,24.96,13.56,57.9
48,19.49,27.45,14.61,61.55
49,19.7,27.51,14.72,61.93
50,20.18,27.66,14.61,62.45
51,21.04,27.32,14.8,63.16
52,22.11,29.41,15.85,67.37
53,22.75,30.22,16.32,69.29
54,24.03,30.84,16.66,71.53
55,25,31.14,16.39,72.53
56,25.69,29.52,15.26,70.47
57,25.59,29.48,15.83,70.9
58,25.21,29.6,15.84,70.65
59,24.62,30.09,15.96,70.67
60,23.66,30.38,16.22,70.26
61,23.13,30.88,16.7,70.71
62,23.34,33.39,17.5,74.23
63,24.03,34.63,18.3,76.96
64,24.2,35.86,19,79.06
65,24.2,33.82,17.65,75.67
