stage 1: a=0.3474000604329414;b=-0.5000023943660166	c=0.059369354290138884	correlation coefficient=0.7610223559109874	p value=9.757032758335002e-05
stage 2: a=1.7299970337387427;b=-4.007394199781278	c=0.3799889039344461	correlation coefficient=0.9226303696738556	p value=6.017080448589483e-14
stage 3: a=-0.15288083023294052;b=-0.13931054655766983	c=0.507598281183137	correlation coefficient=0.17959792019308696	p value=0.5571302923440719
multi-stage: correlation coefficient=0.9337575483733725	p value=9.757032758335002e-05
1	0.0377
2	0.0481
3	0.0540
4	0.0486
5	0.0554
6	0.0594
7	0.0462
8	0.0301
9	0.0301
10	0.0436
11	0.0605
12	0.0663
13	0.0906
14	0.1089
15	0.1483
16	0.1331
17	0.1293
18	0.0809
19	0.1036
20	0.0966
21	0.0098
22	0.1107
23	-0.0117
24	0.1393
25	0.0694
26	0.1270
27	0.1163
28	0.1105
29	0.1875
30	0.1863
31	0.2702
32	0.3535
33	0.4051
34	0.4626
35	0.4569
36	0.4621
37	0.5898
38	0.6088
39	0.5639
40	0.5310
41	0.5287
42	0.5107
43	0.4823
44	0.4447
45	0.4624
46	0.4967
47	0.5151
48	0.5762
49	0.6425
50	0.7283
51	0.8136
52	0.9387
53	0.4196
54	0.4140
55	0.4216
56	0.4491
57	0.4503
58	0.4496
59	0.4434
60	0.4406
61	0.4382
62	0.4089
63	0.3958
64	0.3878
65	0.4072
