stage 1: a=0.3474000604329414;b=-0.5000023943660166	c=0.059369354290138884	correlation coefficient=0.7610223559109874	p value=9.757032758335002e-05
stage 2: a=1.7299970337387427;b=-4.007394199781278	c=0.3799889039344461	correlation coefficient=0.9226303696738556	p value=6.017080448589483e-14
stage 3: a=-0.15288083023294052;b=-0.13931054655766983	c=0.507598281183137	correlation coefficient=0.17959792019308696	p value=0.5571302923440719
multi-stage: correlation coefficient=0.9337575483733725	p value=8.256504594020959e-30
1	0.0377	0.0170	0.0599
2	0.0481	0.0256	0.0713
3	0.0540	0.0296	0.0797
4	0.0486	0.0262	0.0717
5	0.0554	0.0310	0.0814
6	0.0594	0.0327	0.0887
7	0.0462	0.0252	0.0684
8	0.0301	0.0058	0.0537
9	0.0301	0.0029	0.0571
10	0.0436	0.0197	0.0670
11	0.0605	0.0324	0.0874
12	0.0663	0.0377	0.0932
13	0.0906	0.0666	0.1139
14	0.1089	0.0868	0.1299
15	0.1483	0.1148	0.1842
16	0.1331	0.1049	0.1611
17	0.1293	0.1027	0.1561
18	0.0809	0.0584	0.1023
19	0.1036	0.0845	0.1223
20	0.0966	0.0775	0.1137
21	0.0098	-0.0782	0.1075
22	0.1107	0.0257	0.2017
23	-0.0117	-0.0879	0.0748
24	0.1393	0.0881	0.1986
25	0.0694	-0.0189	0.1655
26	0.1270	0.0727	0.1887
27	0.1163	0.0616	0.1784
28	0.1105	0.0566	0.1741
29	0.1875	0.1191	0.2569
30	0.1863	0.1234	0.2510
31	0.2702	0.2192	0.3213
32	0.3535	0.3012	0.4019
33	0.4051	0.3411	0.4660
34	0.4626	0.4184	0.5028
35	0.4569	0.4183	0.4924
36	0.4621	0.4185	0.5023
37	0.5898	0.5421	0.6331
38	0.6088	0.5601	0.6543
39	0.5639	0.5204	0.6041
40	0.5310	0.4891	0.5692
41	0.5287	0.4869	0.5663
42	0.5107	0.4628	0.5545
43	0.4823	0.4267	0.5340
44	0.4447	0.3722	0.5129
45	0.4624	0.4059	0.5171
46	0.4967	0.4495	0.5407
47	0.5151	0.4663	0.5588
48	0.5762	0.5306	0.6176
49	0.6425	0.5932	0.6898
50	0.7283	0.6639	0.7878
51	0.8136	0.7264	0.8940
52	0.9387	0.8119	1.0533
53	0.4196	0.3293	0.5165
54	0.4140	0.3062	0.5268
55	0.4216	0.3452	0.4977
56	0.4491	0.3304	0.5770
57	0.4503	0.3399	0.5706
58	0.4496	0.3419	0.5675
59	0.4434	0.3502	0.5431
60	0.4406	0.3576	0.5273
61	0.4382	0.2351	0.6423
62	0.4089	0.2809	0.5359
63	0.3958	0.2461	0.5387
64	0.3878	0.2420	0.5384
65	0.4072	0.2966	0.5170
