  Layer#  Avg_Radius  Avg_Depth  Avg_Vp
   1.0000 6371.2200    0.0000    1.5000
   2.0000 6368.6100    2.3800    1.5000
   3.0000 6368.6100    2.3800    3.4525
   4.0000 6368.3800    2.6200    3.4525
   5.0000 6368.3800    2.6200    2.3692
   6.0000 6367.8400    3.1500    2.3692
   7.0000 6367.8400    3.1500    3.4727
   8.0000 6367.5600    3.4300    3.4727
   9.0000 6367.5600    3.4300    5.4470
  10.0000 6361.6600    9.3400    5.4470
  11.0000 6361.6600    9.3400    6.2003
  12.0000 6355.2700   15.7200    6.2003
  13.0000 6355.2700   15.7200    7.1035
  14.0000 6349.3700   21.6200    7.1035
  15.0000 6349.3700   21.6200    8.0804
  16.0000 6302.6800   68.3100    8.0793
  17.0000 6256.0000  115.0000    8.0664
  18.0000 6221.0000  150.0000    8.0392
  19.0000 6186.0000  185.0000    8.0425
  20.0000 6151.0000  220.0000    8.2733
  21.0000 6106.0000  265.0000    8.6523
  22.0000 6061.0000  310.0000    8.7390
  23.0000 6016.0000  355.0000    8.8220
  24.0000 5958.7200  412.2700    8.9090
  25.0000 5958.7200  412.2700    9.1416
  26.0000 5913.8500  457.1500    9.3861
  27.0000 5868.9700  502.0200    9.6397
  28.0000 5824.1000  546.9000    9.8920
  29.0000 5779.2200  591.7700   10.1405
  30.0000 5747.8100  623.1900   10.1915
  31.0000 5716.3900  654.6000   10.2556
  32.0000 5716.3900  654.6000   10.7411
  33.0000 5650.0000  721.0000   10.8895
  34.0000 5600.0000  771.0000   11.0461
  35.0000 5500.0000  871.0000   11.2237
  36.0000 5400.0000  971.0000   11.3972
  37.0000 5300.0000 1071.0000   11.5621
  38.0000 5200.0000 1171.0000   11.7191
  39.0000 5100.0000 1271.0000   11.8682
  40.0000 5000.0000 1371.0000   12.0119
  41.0000 4900.0000 1471.0000   12.1466
  42.0000 4800.0000 1571.0000   12.2782
  43.0000 4700.0000 1671.0000   12.4039
  44.0000 4600.0000 1771.0000   12.5234
  45.0000 4500.0000 1871.0000   12.6447
  46.0000 4400.0000 1971.0000   12.7674
  47.0000 4300.0000 2071.0000   12.8795
  48.0000 4200.0000 2170.9900   12.9966
  49.0000 4100.0000 2271.0000   13.1043
  50.0000 4000.0000 2371.0000   13.2143
  51.0000 3900.0000 2471.0000   13.3346
  52.0000 3800.0000 2571.0000   13.4436
  53.0000 3700.0000 2671.0000   13.5554
  54.0000 3630.0000 2741.0000   13.6396
  55.0000 3600.0000 2771.0000   13.6467
  56.0000 3500.0000 2871.0000   13.6708
  57.0000 3480.0000 2891.0000   13.6757
