# time,total_subducted_mean  (Mt C/yr)
1.0,91.78333333333332
2.0,78.28999999999999
3.0,70.566
4.0,78.784
5.0,69.45199999999998
6.0,63.11600000000001
7.0,83.076
8.0,123.82000000000001
9.0,151.67399999999998
10.0,173.738
11.0,229.18400000000003
12.0,238.22799999999998
13.0,254.878
14.0,248.652
15.0,253.04799999999994
16.0,265.148
17.0,245.38599999999997
18.0,235.21800000000002
19.0,215.96999999999997
20.0,225.096
21.0,236.85
22.0,232.22400000000002
23.0,219.60999999999999
24.0,190.41199999999998
25.0,235.834
26.0,195.102
27.0,192.67200000000003
28.0,188.49200000000002
29.0,150.31799999999998
30.0,155.546
31.0,156.826
32.0,143.398
33.0,127.53600000000002
34.0,144.282
35.0,157.454
36.0,144.72
37.0,153.43400000000003
38.0,152.576
39.0,151.808
40.0,153.666
41.0,148.98200000000003
42.0,135.95
43.0,127.75999999999999
44.0,117.41199999999999
45.0,128.408
46.0,137.174
47.0,134.63000000000002
48.0,144.24
49.0,140.81199999999998
50.0,147.07
51.0,153.786
52.0,165.562
53.0,166.32999999999998
54.0,172.41
55.0,163.106
56.0,132.248
57.0,132.596
58.0,132.74
59.0,139.072
60.0,142.85999999999999
61.0,154.842
62.0,169.254
63.0,181.77200000000002
64.0,195.612
65.0,172.34
